"zip","latitude","longitude"
"02766",41.97,-71.18
"02767",41.93,-71.04
"02768",41.75,-71.06
"02769",41.85,-71.25
"02770",41.75,-70.85
"02771",41.83,-71.32
"02777",41.74,-71.21
"02779",41.83,-71.07
"02780",41.90,-71.10
"02783",41.75,-71.06
"02790",41.62,-71.08
"02791",41.51,-71.08
"02801",41.53,-71.28
"02802",41.95,-71.46
"02804",41.42,-71.78
"02806",41.74,-71.31
"02807",41.17,-71.57
"02808",41.41,-71.74
"02809",41.68,-71.26
"02812",41.46,-71.67
"02813",41.40,-71.66
"02814",41.91,-71.67
"02815",41.77,-71.67
"02816",41.69,-71.57
"02817",41.64,-71.64
"02818",41.64,-71.47
"02822",41.57,-71.60
"02823",41.73,-71.54
"02824",42.00,-71.56
"02825",41.78,-71.71
"02826",41.98,-71.60
"02827",41.70,-71.73
"02828",41.87,-71.55
"02829",41.87,-71.58
"02830",41.97,-71.65
"02831",41.75,-71.56
"02832",41.50,-71.73
"02833",41.47,-71.77
"02835",41.51,-71.37
"02836",41.44,-71.62
"02837",41.52,-71.16
"02838",41.96,-71.47
"02839",41.94,-71.63
"02840",41.48,-71.32
"02841",41.49,-71.29
"02842",41.51,-71.27
"02852",41.58,-71.46
"02854",41.37,-71.64
"02857",41.84,-71.62
"02858",41.96,-71.64
"02859",41.96,-71.70
"02860",41.87,-71.39
"02861",41.88,-71.35
"02862",41.86,-71.36
"02863",41.88,-71.39
"02864",41.94,-71.41
"02865",41.90,-71.43
"02871",41.59,-71.25
"02872",41.70,-71.28
"02873",41.51,-71.77
"02874",41.51,-71.44
"02875",41.45,-71.63
"02876",41.99,-71.57
"02877",41.52,-71.52
"02878",41.63,-71.18
"02879",41.44,-71.53
"02880",41.37,-71.64
"02881",41.48,-71.52
"02882",41.43,-71.46
"02883",41.37,-71.64
"02885",41.72,-71.27
"02886",41.70,-71.44
"02887",41.68,-71.55
"02888",41.74,-71.40
"02889",41.71,-71.39
"02891",41.36,-71.81
"02892",41.50,-71.62
"02893",41.70,-71.51
"02894",41.45,-71.70
"02895",41.98,-71.51
"02896",41.97,-71.55
"02898",41.50,-71.66
"02901",41.82,-71.41
"02902",41.81,-71.42
"02903",41.82,-71.41
"02904",41.85,-71.43
"02905",41.78,-71.39
"02906",41.83,-71.39
"02907",41.79,-71.42
"02908",41.83,-71.43
"02909",41.82,-71.44
"02910",41.77,-71.43
"02911",41.85,-71.47
"02912",41.82,-71.39
"02914",41.81,-71.36
"02915",41.77,-71.35
"02916",41.84,-71.35
"02917",41.89,-71.52
"02918",41.84,-71.44
"02919",41.82,-71.52
"02920",41.77,-71.46
"02921",41.76,-71.50
"02940",41.87,-71.55
"03031",42.85,-71.60
"03032",42.99,-71.34
"03033",42.73,-71.66
"03034",43.05,-71.30
"03036",42.96,-71.24
"03037",43.13,-71.25
"03038",42.88,-71.30
"03040",43.00,-71.01
"03041",43.00,-71.01
"03042",43.04,-71.07
"03043",42.99,-71.81
"03044",42.98,-71.12
"03045",43.02,-71.56
"03046",43.10,-71.61
"03047",42.94,-71.87
"03048",42.74,-71.76
"03049",42.74,-71.57
"03051",42.76,-71.41
"03052",42.84,-71.45
"03053",42.86,-71.37
"03054",42.86,-71.51
"03055",42.82,-71.66
"03057",42.89,-71.67
"03060",42.75,-71.46
"03061",42.95,-71.65
"03062",42.72,-71.48
"03063",42.77,-71.51
"03064",42.77,-71.47
"03070",42.97,-71.68
"03071",42.75,-71.87
"03073",43.00,-71.01
"03076",42.72,-71.30
"03077",43.03,-71.19
"03079",42.78,-71.21
"03082",42.89,-71.77
"03084",42.82,-71.85
"03086",42.83,-71.75
"03087",42.80,-71.30
"03101",42.99,-71.46
"03102",42.99,-71.48
"03103",42.96,-71.44
"03104",43.00,-71.44
"03105",42.95,-71.65
"03106",43.06,-71.44
"03107",42.95,-71.65
"03108",42.95,-71.65
"03109",42.97,-71.41
"03110",42.94,-71.52
